Id,SalePrice
1461,123977.24
1462,153915.97
1463,189613.33
1464,200066.94
1465,199464.25
1466,180315.7
1467,169184.97
1468,170929.55
1469,181554.28
1470,121076.71
1471,206213.28
1472,93266.26
1473,111691.76
1474,159808.34
1475,132740.88
1476,403341.97
1477,252519.9
1478,317181.28
1479,230081.19
1480,418706.0
1481,326169.12
1482,216299.7
1483,172437.84
1484,184426.69
1485,177688.67
1486,205367.17
1487,389541.62
1488,257395.4
1489,216844.19
1490,209248.38
1491,188823.44
1492,97092.41
1493,194932.7
1494,286609.03
1495,284680.03
1496,216769.56
1497,191939.4
1498,162855.28
1499,150999.23
1500,131521.5
1501,191434.88
1502,170224.97
1503,323385.7
1504,228136.17
1505,214777.22
1506,191959.7
1507,232503.31
1508,212070.02
1509,174451.97
1510,148632.6
1511,139072.9
1512,167914.62
1513,155206.25
1514,189405.27
1515,199016.73
1516,161009.14
1517,157990.02
1518,132495.86
1519,221966.08
1520,138705.47
1521,138254.55
1522,165899.78
1523,104031.66
1524,119311.56
1525,125028.82
1526,121101.5
1527,95745.47
1528,129851.93
1529,146075.4
1530,184140.28
1531,89787.86
1532,103541.92
1533,137578.62
1534,118928.91
1535,161938.36
1536,124637.04
1537,75988.5
1538,182924.39
1539,182204.23
1540,121606.94
1541,156356.88
1542,156956.02
1543,225884.58
1544,80036.05
1545,119436.97
1546,132566.0
1547,141414.69
1548,140685.17
1549,108735.85
1550,152531.23
1551,101604.07
1552,149105.17
1553,148029.36
1554,114433.11
1555,181032.72
1556,82569.64
1557,113888.88
1558,109225.21
1559,105186.86
1560,115950.805
1561,168887.27
1562,125078.59
1563,123616.555
1564,145380.78
1565,154583.7
1566,221010.36
1567,78595.79
1568,232106.4
1569,141145.23
1570,135230.94
1571,132987.36
1572,152752.64
1573,253183.03
1574,105141.69
1575,197317.77
1576,229082.78
1577,212451.19
1578,160131.33
1579,138444.48
1580,196820.2
1581,156909.64
1582,124343.61
1583,300116.28
1584,234307.89
1585,140496.84
1586,73571.766
1587,100658.95
1588,144314.7
1589,109929.04
1590,121549.0
1591,97449.87
1592,134868.5
1593,105336.555
1594,145551.6
1595,100638.86
1596,237324.97
1597,163723.61
1598,211549.56
1599,197384.23
1600,185204.6
1601,85103.38
1602,130812.18
1603,86479.43
1604,282616.34
1605,248254.19
1606,176786.44
1607,163336.05
1608,217933.36
1609,208163.19
1610,168009.1
1611,133779.81
1612,150129.78
1613,158918.73
1614,125285.4
1615,80924.66
1616,80577.65
1617,83235.58
1618,131398.42
1619,128171.48
1620,171362.97
1621,132707.0
1622,145432.05
1623,306526.8
1624,237523.42
1625,126405.75
1626,176887.06
1627,188579.92
1628,283970.03
1629,180827.36
1630,366254.5
1631,220134.12
1632,247958.75
1633,177790.69
1634,191745.2
1635,175116.75
1636,159681.45
1637,184048.97
1638,210364.69
1639,182617.5
1640,243356.3
1641,182056.97
1642,222059.55
1643,221946.6
1644,244143.34
1645,178566.28
1646,157891.7
1647,155609.11
1648,134886.08
1649,142868.27
1650,121516.41
1651,122860.31
1652,94099.664
1653,97315.88
1654,150233.38
1655,159928.02
1656,146749.86
1657,154693.33
1658,146995.33
1659,140892.2
1660,144053.5
1661,459567.06
1662,389829.06
1663,395486.62
1664,479500.84
1665,328790.06
1666,314066.2
1667,365134.66
1668,336921.25
1669,271049.4
1670,327091.53
1671,244630.39
1672,458493.94
1673,304935.78
1674,260822.34
1675,180600.22
1676,193113.47
1677,224392.64
1678,474508.03
1679,381086.94
1680,327299.62
1681,232337.69
1682,302963.12
1683,191901.84
1684,168210.4
1685,176193.56
1686,167148.33
1687,178931.23
1688,187615.77
1689,191106.3
1690,187585.5
1691,182166.84
1692,288477.34
1693,170570.73
1694,189758.48
1695,173163.28
1696,245507.08
1697,187819.56
1698,341044.53
1699,350983.12
1700,245188.03
1701,270240.2
1702,246970.55
1703,254002.66
1704,284464.66
1705,255677.81
1706,471832.38
1707,227133.45
1708,222773.86
1709,260867.53
1710,237925.72
1711,280393.75
1712,219591.69
1713,244488.86
1714,222417.25
1715,213789.08
1716,183779.1
1717,176877.28
1718,133399.47
1719,198348.05
1720,264457.3
1721,157414.56
1722,112178.7
1723,156534.6
1724,224658.81
1725,240214.88
1726,198839.17
1727,176077.38
1728,194196.56
1729,169555.38
1730,172209.94
1731,115072.72
1732,136582.89
1733,119824.055
1734,112940.24
